groupName,groupOrder,taxonOrderBounds
Waterfowl,1,"[[227.0, 751.0]]"
Cormorants and Anhingas,2,"[[7195.0, 7286.0]]"
Loons,3,"[[6768.0, 6777.0]]"
Grebes,4,"[[1798.0, 1872.0]]"
Finfoots,5,"[[5634.0, 5640.0]]"
Penguins,6,"[[6779.0, 6811.0]]"
Alcids,7,"[[6337.0, 6404.0]]"
Albatrosses,8,"[[6813.0, 6851.0]]"
"Petrels, Shearwaters, and Diving-Petrels",9,"[[6925.0, 7109.0]]"
Storm-Petrels,10,"[[6853.0, 6923.0]]"
Tropicbirds,11,"[[6749.0, 6766.0]]"
"Frigatebirds, Boobies, and Gannets",12,"[[7146.0, 7193.0]]"
Pelicans,13,"[[7288.0, 7303.0]]"
Skuas and Jaegers,14,"[[6318.0, 6335.0]]"
"Gulls, Terns, and Skimmers",15,"[[6406.0, 6739.0]]"
Shorebirds,16,"[[5696.0, 6316.0]]"
Flamingos,17,"[[1786.0, 1796.0]]"
Shoebill and Hammerkop,18,"[[7305.0, 7307.0]]"
Screamers,19,"[[223.0, 225.0]]"
Storks,20,"[[7111.0, 7144.0]]"
Cranes,21,"[[5661.0, 5694.0]]"
"Herons, Ibis, and Allies",22,"[[7311.0, 7615.0]]"
Limpkin,23,"[[5642.0, 5647.0]]"
Trumpeters,24,"[[5649.0, 5659.0]]"
"Rails, Gallinules, and Allies",25,"[[5227.0, 5632.0]]"
Flufftails,26,"[[5186.0, 5223.0]]"
Sunbittern,27,"[[6743.0, 6747.0]]"
Ostriches,28,"[[2.0, 8.0]]"
Rheas,29,"[[10.0, 20.0]]"
Cassowaries and Emu,30,"[[204.0, 207.0]]"
Kiwis,31,"[[213.0, 221.0]]"
Bustards,32,"[[2909.0, 2966.0]]"
Seriemas,33,"[[11701.0, 11702.0]]"
Kagu,34,"[[6741.0, 6741.0]]"
Mesites,35,"[[2857.0, 2859.0]]"
Tinamous,36,"[[22.0, 202.0]]"
Megapodes,37,"[[753.0, 804.0]]"
"Chachalacas, Guans, and Curassows",38,"[[811.0, 928.0]]"
"Grouse, Quail, and Allies",39,"[[930.0, 1784.0]]"
Sandgrouse,40,"[[2861.0, 2907.0]]"
Pigeons and Doves,41,"[[1874.0, 2855.0]]"
"Vultures, Hawks, and Allies",42,"[[7617.0, 8381.0]]"
Falcons and Caracaras,43,"[[11704.0, 11905.0]]"
Owls,44,"[[8383.0, 9193.0]]"
Frogmouths,45,"[[3434.0, 3469.0]]"
Owlet-nightjars,46,"[[3784.0, 3803.0]]"
Potoos and Oilbird,47,"[[3761.0, 3782.0]]"
Nightjars,48,"[[3471.0, 3759.0]]"
Hummingbirds,49,"[[4195.0, 5182.0]]"
Swifts,50,"[[3805.0, 4175.0]]"
Treeswifts,51,"[[4177.0, 4193.0]]"
Martins and Swallows,52,"[[23584.0, 23885.0]]"
Woodswallows,53,"[[19355.0, 19388.0]]"
Hoatzin,54,"[[5184.0, 5184.0]]"
Turacos,55,"[[2968.0, 3021.0]]"
Cuckoos,56,"[[3023.0, 3432.0]]"
New Zealand Parrots,57,"[[11907.0, 11912.0]]"
Cockatoos,58,"[[11914.0, 11980.0]]"
"Parrots, Parakeets, and Allies",59,"[[11982.0, 12966.0]]"
Trogons and Quetzals,60,"[[9241.0, 9392.0]]"
Kingfishers,61,"[[9628.0, 10042.0]]"
Todies,62,"[[9557.0, 9562.0]]"
Puffbirds and Jacamars,63,"[[10165.0, 10313.0]]"
Motmots,64,"[[9564.0, 9626.0]]"
"Bee-eaters, Rollers, and Allies",65,"[[10044.0, 10163.0]]"
Hoopoes,66,"[[9394.0, 9405.0]]"
Woodhoopoes and Scimitarbills,67,"[[9407.0, 9442.0]]"
Mousebirds,68,"[[9195.0, 9234.0]]"
Cuckoo-roller,69,"[[9236.0, 9236.0]]"
Hornbills,70,"[[9444.0, 9555.0]]"
Barbets and Toucans,71,"[[10315.0, 10733.0]]"
Woodpeckers,72,"[[10785.0, 11699.0]]"
Bellmagpies and Allies,73,"[[19389.0, 19447.0]]"
Crested Jayshrike,74,"[[20629.0, 20629.0]]"
"Jays, Magpies, Crows, and Ravens",75,"[[20773.0, 21246.0]]"
White-winged Chough and Apostlebird,76,"[[20616.0, 20619.0]]"
New Zealand Wrens,77,"[[12968.0, 12976.0]]"
Asities,78,"[[13050.0, 13054.0]]"
Old World Pittas,79,"[[13056.0, 13179.0]]"
Leaftossers and Miners,80,"[[14253.0, 14326.0]]"
Woodcreepers,81,"[[14327.0, 14683.0]]"
Ovenbirds,82,"[[14684.0, 15389.0]]"
Logrunners,83,"[[18178.0, 18183.0]]"
Antbirds,84,"[[13181.0, 13868.0]]"
Antthrushes,85,"[[14192.0, 14251.0]]"
Gnateaters and Antpittas,86,"[[13887.0, 14091.0]]"
Tapaculos,87,"[[14093.0, 14190.0]]"
Crescentchests,88,"[[13873.0, 13883.0]]"
Honeyguides,89,"[[10735.0, 10783.0]]"
African and Green Broadbills,90,"[[12978.0, 13001.0]]"
Asian and Grauer's Broadbills,91,"[[13003.0, 13046.0]]"
Sapayoa,92,"[[13048.0, 13048.0]]"
Cotingas,93,"[[15549.0, 15658.0]]"
Manakins,94,"[[15391.0, 15547.0]]"
